    rho	     ne         ti         te  
  .863E+00  .293E+20  .454E+03  .460E+03
  .869E+00  .291E+20  .444E+03  .449E+03
  .875E+00  .289E+20  .434E+03  .438E+03
  .881E+00  .288E+20  .424E+03  .427E+03
  .886E+00  .286E+20  .414E+03  .416E+03
  .892E+00  .284E+20  .404E+03  .404E+03
  .898E+00  .282E+20  .394E+03  .393E+03
  .903E+00  .280E+20  .384E+03  .381E+03
  .909E+00  .278E+20  .374E+03  .369E+03
  .915E+00  .276E+20  .364E+03  .357E+03
  .920E+00  .273E+20  .354E+03  .345E+03
  .926E+00  .271E+20  .344E+03  .332E+03
  .932E+00  .268E+20  .334E+03  .318E+03
  .937E+00  .266E+20  .324E+03  .304E+03
  .943E+00  .263E+20  .314E+03  .288E+03
  .949E+00  .260E+20  .305E+03  .270E+03
  .954E+00  .257E+20  .295E+03  .249E+03
  .960E+00  .254E+20  .285E+03  .225E+03
  .966E+00  .250E+20  .276E+03  .195E+03
  .972E+00  .246E+20  .266E+03  .162E+03
  .977E+00  .241E+20  .257E+03  .127E+03
  .983E+00  .228E+20  .248E+03  .948E+02
  .989E+00  .190E+20  .239E+03  .682E+02
  .994E+00  .123E+20  .230E+03  .488E+02
  .100E+01  .752E+19  .221E+03  .360E+02
