n   PESCAPE     TO     ASCATReflect(N)  TRANS(N)
 1  .963E+00  .606E+00  .878E+00  .166E+00  .773E+00
 2  .963E+00  .605E+00  .877E+00  .167E+00  .772E+00
 3  .962E+00  .604E+00  .876E+00  .167E+00  .771E+00
 4  .962E+00  .603E+00  .875E+00  .167E+00  .770E+00
 5  .961E+00  .602E+00  .874E+00  .167E+00  .769E+00
 6  .961E+00  .601E+00  .872E+00  .167E+00  .768E+00
 7  .960E+00  .600E+00  .871E+00  .167E+00  .767E+00
 8  .960E+00  .599E+00  .870E+00  .167E+00  .766E+00
 9  .959E+00  .598E+00  .869E+00  .167E+00  .766E+00
10  .959E+00  .597E+00  .867E+00  .168E+00  .765E+00
11  .958E+00  .596E+00  .866E+00  .168E+00  .764E+00
12  .958E+00  .595E+00  .864E+00  .168E+00  .763E+00
13  .957E+00  .594E+00  .862E+00  .167E+00  .762E+00
14  .956E+00  .593E+00  .860E+00  .167E+00  .760E+00
15  .955E+00  .592E+00  .858E+00  .167E+00  .759E+00
16  .954E+00  .591E+00  .855E+00  .167E+00  .758E+00
17  .953E+00  .590E+00  .852E+00  .167E+00  .756E+00
18  .952E+00  .588E+00  .848E+00  .166E+00  .754E+00
19  .950E+00  .587E+00  .842E+00  .165E+00  .752E+00
20  .947E+00  .586E+00  .834E+00  .164E+00  .749E+00
21  .944E+00  .589E+00  .823E+00  .160E+00  .749E+00
22  .947E+00  .610E+00  .817E+00  .151E+00  .761E+00
23  .964E+00  .677E+00  .844E+00  .131E+00  .808E+00
24  .979E+00  .760E+00  .869E+00  .102E+00  .862E+00
n   PESCAPE     TO     ASCATReflect(N)  TRANS(N)
 1  .658E-01  .148E-16  .795E+00  .262E-01  .262E-01
 2  .655E-01  .147E-16  .794E+00  .260E-01  .260E-01
 3  .644E-01  .104E-16  .792E+00  .255E-01  .255E-01
 4  .636E-01  .836E-17  .791E+00  .252E-01  .252E-01
 5  .631E-01  .787E-17  .789E+00  .249E-01  .249E-01
 6  .628E-01  .893E-17  .788E+00  .248E-01  .248E-01
 7  .630E-01  .127E-16  .786E+00  .248E-01  .248E-01
 8  .636E-01  .233E-16  .785E+00  .250E-01  .250E-01
 9  .648E-01  .578E-16  .784E+00  .254E-01  .254E-01
10  .668E-01  .200E-15  .782E+00  .261E-01  .261E-01
11  .696E-01  .992E-15  .781E+00  .272E-01  .272E-01
12  .736E-01  .722E-14  .780E+00  .287E-01  .287E-01
13  .793E-01  .788E-13  .780E+00  .309E-01  .309E-01
14  .874E-01  .129E-11  .779E+00  .340E-01  .340E-01
15  .990E-01  .311E-10  .779E+00  .385E-01  .385E-01
16  .116E+00  .103E-08  .778E+00  .451E-01  .451E-01
17  .141E+00  .411E-07  .778E+00  .549E-01  .549E-01
18  .180E+00  .165E-05  .778E+00  .699E-01  .699E-01
19  .239E+00  .503E-04  .777E+00  .930E-01  .930E-01
20  .332E+00  .946E-03  .779E+00  .129E+00  .130E+00
21  .465E+00  .972E-02  .781E+00  .180E+00  .189E+00
22  .642E+00  .597E-01  .789E+00  .238E+00  .298E+00
23  .848E+00  .238E+00  .835E+00  .270E+00  .508E+00
24  .953E+00  .564E+00  .864E+00  .179E+00  .743E+00
