n   PESCAPE     TO     ASCATReflect(N)  TRANS(N)
 1  .965E+00  .628E+00  .873E+00  .157E+00  .784E+00
 2  .964E+00  .627E+00  .872E+00  .157E+00  .784E+00
 3  .964E+00  .626E+00  .872E+00  .157E+00  .783E+00
 4  .964E+00  .624E+00  .871E+00  .158E+00  .782E+00
 5  .963E+00  .623E+00  .870E+00  .158E+00  .781E+00
 6  .963E+00  .622E+00  .869E+00  .158E+00  .780E+00
 7  .962E+00  .622E+00  .868E+00  .158E+00  .780E+00
 8  .962E+00  .621E+00  .867E+00  .158E+00  .779E+00
 9  .962E+00  .620E+00  .866E+00  .158E+00  .778E+00
10  .961E+00  .619E+00  .864E+00  .158E+00  .777E+00
11  .961E+00  .618E+00  .863E+00  .159E+00  .776E+00
12  .960E+00  .617E+00  .862E+00  .159E+00  .775E+00
13  .960E+00  .616E+00  .860E+00  .159E+00  .774E+00
14  .959E+00  .614E+00  .858E+00  .159E+00  .773E+00
15  .958E+00  .613E+00  .856E+00  .159E+00  .772E+00
16  .957E+00  .612E+00  .854E+00  .159E+00  .770E+00
17  .956E+00  .610E+00  .850E+00  .158E+00  .768E+00
18  .955E+00  .609E+00  .846E+00  .158E+00  .767E+00
19  .953E+00  .608E+00  .840E+00  .157E+00  .765E+00
20  .951E+00  .609E+00  .833E+00  .155E+00  .764E+00
21  .949E+00  .615E+00  .822E+00  .150E+00  .766E+00
22  .952E+00  .634E+00  .822E+00  .143E+00  .777E+00
23  .964E+00  .675E+00  .844E+00  .132E+00  .807E+00
24  .977E+00  .735E+00  .869E+00  .113E+00  .847E+00
n   PESCAPE     TO     ASCATReflect(N)  TRANS(N)
 1  .220E+00  .396E-05  .813E+00  .896E-01  .896E-01
 2  .223E+00  .467E-05  .813E+00  .905E-01  .905E-01
 3  .223E+00  .499E-05  .812E+00  .905E-01  .905E-01
 4  .224E+00  .559E-05  .811E+00  .908E-01  .908E-01
 5  .226E+00  .658E-05  .810E+00  .915E-01  .915E-01
 6  .229E+00  .813E-05  .809E+00  .926E-01  .926E-01
 7  .234E+00  .107E-04  .808E+00  .944E-01  .944E-01
 8  .239E+00  .145E-04  .808E+00  .964E-01  .964E-01
 9  .245E+00  .206E-04  .807E+00  .990E-01  .990E-01
10  .253E+00  .305E-04  .806E+00  .102E+00  .102E+00
11  .263E+00  .470E-04  .806E+00  .106E+00  .106E+00
12  .275E+00  .762E-04  .806E+00  .111E+00  .111E+00
13  .290E+00  .128E-03  .806E+00  .117E+00  .117E+00
14  .307E+00  .230E-03  .805E+00  .124E+00  .124E+00
15  .331E+00  .454E-03  .805E+00  .133E+00  .134E+00
16  .361E+00  .962E-03  .805E+00  .145E+00  .146E+00
17  .399E+00  .213E-02  .805E+00  .160E+00  .162E+00
18  .446E+00  .482E-02  .805E+00  .179E+00  .183E+00
19  .500E+00  .108E-01  .803E+00  .199E+00  .209E+00
20  .567E+00  .250E-01  .800E+00  .221E+00  .246E+00
21  .655E+00  .616E-01  .798E+00  .245E+00  .307E+00
22  .777E+00  .157E+00  .808E+00  .265E+00  .422E+00
23  .893E+00  .349E+00  .838E+00  .244E+00  .593E+00
24  .960E+00  .606E+00  .865E+00  .164E+00  .770E+00
