    rho	     ne         ti         te  
  .863E+00  .219E+20  .337E+03  .250E+03
  .869E+00  .216E+20  .331E+03  .243E+03
  .874E+00  .213E+20  .325E+03  .234E+03
  .880E+00  .210E+20  .318E+03  .225E+03
  .886E+00  .206E+20  .311E+03  .216E+03
  .892E+00  .203E+20  .305E+03  .207E+03
  .897E+00  .200E+20  .299E+03  .199E+03
  .903E+00  .196E+20  .293E+03  .190E+03
  .909E+00  .192E+20  .287E+03  .181E+03
  .914E+00  .188E+20  .281E+03  .172E+03
  .920E+00  .184E+20  .275E+03  .163E+03
  .926E+00  .181E+20  .271E+03  .156E+03
  .932E+00  .176E+20  .266E+03  .147E+03
  .937E+00  .172E+20  .261E+03  .138E+03
  .943E+00  .167E+20  .256E+03  .129E+03
  .949E+00  .163E+20  .252E+03  .121E+03
  .954E+00  .157E+20  .248E+03  .112E+03
  .960E+00  .153E+20  .245E+03  .106E+03
  .966E+00  .148E+20  .242E+03  .977E+02
  .971E+00  .142E+20  .240E+03  .899E+02
  .977E+00  .136E+20  .237E+03  .825E+02
  .983E+00  .130E+20  .236E+03  .754E+02
  .989E+00  .125E+20  .235E+03  .697E+02
  .994E+00  .118E+20  .234E+03  .633E+02
  .100E+01  .106E+20  .234E+03  .572E+02
