n   PESCAPE     TO     ASCATReflect(N)  TRANS(N)
 1  .961E+00  .640E+00  .854E+00  .148E+00  .788E+00
 2  .961E+00  .641E+00  .853E+00  .147E+00  .788E+00
 3  .961E+00  .642E+00  .851E+00  .147E+00  .788E+00
 4  .961E+00  .643E+00  .849E+00  .146E+00  .789E+00
 5  .960E+00  .644E+00  .848E+00  .145E+00  .789E+00
 6  .960E+00  .645E+00  .846E+00  .144E+00  .789E+00
 7  .960E+00  .647E+00  .844E+00  .143E+00  .790E+00
 8  .960E+00  .649E+00  .842E+00  .142E+00  .791E+00
 9  .959E+00  .651E+00  .840E+00  .141E+00  .791E+00
10  .959E+00  .653E+00  .838E+00  .140E+00  .792E+00
11  .959E+00  .655E+00  .835E+00  .138E+00  .793E+00
12  .959E+00  .657E+00  .833E+00  .137E+00  .794E+00
13  .959E+00  .660E+00  .831E+00  .135E+00  .796E+00
14  .959E+00  .664E+00  .828E+00  .133E+00  .797E+00
15  .959E+00  .667E+00  .825E+00  .132E+00  .799E+00
16  .959E+00  .671E+00  .822E+00  .129E+00  .801E+00
17  .958E+00  .675E+00  .819E+00  .127E+00  .803E+00
18  .959E+00  .680E+00  .816E+00  .125E+00  .805E+00
19  .960E+00  .686E+00  .815E+00  .123E+00  .809E+00
20  .962E+00  .695E+00  .823E+00  .121E+00  .816E+00
21  .965E+00  .705E+00  .830E+00  .118E+00  .823E+00
22  .968E+00  .714E+00  .837E+00  .116E+00  .830E+00
23  .971E+00  .724E+00  .844E+00  .113E+00  .837E+00
24  .974E+00  .736E+00  .851E+00  .109E+00  .846E+00
n   PESCAPE     TO     ASCATReflect(N)  TRANS(N)
 1  .267E+00  .805E-04  .796E+00  .106E+00  .106E+00
 2  .283E+00  .139E-03  .796E+00  .112E+00  .113E+00
 3  .296E+00  .216E-03  .796E+00  .118E+00  .118E+00
 4  .310E+00  .332E-03  .796E+00  .123E+00  .123E+00
 5  .325E+00  .508E-03  .796E+00  .129E+00  .130E+00
 6  .341E+00  .773E-03  .795E+00  .135E+00  .136E+00
 7  .359E+00  .119E-02  .796E+00  .143E+00  .144E+00
 8  .379E+00  .179E-02  .795E+00  .150E+00  .152E+00
 9  .400E+00  .271E-02  .795E+00  .159E+00  .161E+00
10  .424E+00  .410E-02  .795E+00  .168E+00  .172E+00
11  .450E+00  .618E-02  .795E+00  .178E+00  .184E+00
12  .480E+00  .938E-02  .796E+00  .189E+00  .198E+00
13  .511E+00  .141E-01  .796E+00  .201E+00  .215E+00
14  .546E+00  .211E-01  .796E+00  .213E+00  .234E+00
15  .586E+00  .321E-01  .797E+00  .226E+00  .258E+00
16  .632E+00  .497E-01  .798E+00  .240E+00  .289E+00
17  .683E+00  .776E-01  .800E+00  .252E+00  .330E+00
18  .739E+00  .120E+00  .803E+00  .261E+00  .381E+00
19  .796E+00  .183E+00  .809E+00  .263E+00  .446E+00
20  .849E+00  .268E+00  .817E+00  .254E+00  .522E+00
21  .892E+00  .370E+00  .825E+00  .232E+00  .602E+00
22  .925E+00  .477E+00  .833E+00  .202E+00  .678E+00
23  .948E+00  .581E+00  .840E+00  .167E+00  .748E+00
24  .967E+00  .686E+00  .849E+00  .129E+00  .815E+00
