n   PESCAPE     TO     ASCATReflect(N)  TRANS(N)
 1  .958E+00  .633E+00  .843E+00  .148E+00  .781E+00
 2  .958E+00  .636E+00  .841E+00  .147E+00  .783E+00
 3  .958E+00  .639E+00  .840E+00  .145E+00  .784E+00
 4  .958E+00  .642E+00  .838E+00  .144E+00  .785E+00
 5  .958E+00  .645E+00  .836E+00  .142E+00  .787E+00
 6  .958E+00  .648E+00  .834E+00  .140E+00  .789E+00
 7  .958E+00  .652E+00  .831E+00  .139E+00  .791E+00
 8  .958E+00  .656E+00  .829E+00  .137E+00  .792E+00
 9  .958E+00  .660E+00  .827E+00  .135E+00  .795E+00
10  .958E+00  .664E+00  .824E+00  .132E+00  .797E+00
11  .958E+00  .669E+00  .821E+00  .130E+00  .799E+00
12  .958E+00  .674E+00  .817E+00  .128E+00  .802E+00
13  .958E+00  .680E+00  .814E+00  .125E+00  .804E+00
14  .960E+00  .687E+00  .818E+00  .123E+00  .810E+00
15  .963E+00  .697E+00  .826E+00  .120E+00  .818E+00
16  .967E+00  .708E+00  .835E+00  .118E+00  .826E+00
17  .971E+00  .722E+00  .844E+00  .114E+00  .836E+00
18  .975E+00  .738E+00  .856E+00  .109E+00  .847E+00
19  .979E+00  .759E+00  .868E+00  .103E+00  .861E+00
20  .984E+00  .784E+00  .883E+00  .938E-01  .878E+00
21  .988E+00  .812E+00  .897E+00  .831E-01  .895E+00
22  .991E+00  .840E+00  .908E+00  .720E-01  .912E+00
23  .993E+00  .862E+00  .916E+00  .626E-01  .925E+00
24  .994E+00  .877E+00  .920E+00  .562E-01  .933E+00
n   PESCAPE     TO     ASCATReflect(N)  TRANS(N)
 1  .455E-03  .000E+00  .725E+00  .165E-03  .165E-03
 2  .556E-03  .000E+00  .722E+00  .201E-03  .201E-03
 3  .649E-03  .000E+00  .719E+00  .233E-03  .233E-03
 4  .766E-03  .000E+00  .717E+00  .274E-03  .274E-03
 5  .918E-03  .000E+00  .713E+00  .328E-03  .328E-03
 6  .112E-02  .000E+00  .710E+00  .398E-03  .398E-03
 7  .139E-02  .000E+00  .707E+00  .492E-03  .492E-03
 8  .178E-02  .000E+00  .703E+00  .624E-03  .624E-03
 9  .233E-02  .000E+00  .699E+00  .814E-03  .814E-03
10  .316E-02  .000E+00  .695E+00  .110E-02  .110E-02
11  .446E-02  .000E+00  .691E+00  .154E-02  .154E-02
12  .662E-02  .000E+00  .686E+00  .227E-02  .227E-02
13  .104E-01  .000E+00  .680E+00  .355E-02  .355E-02
14  .186E-01  .246E-38  .685E+00  .635E-02  .635E-02
15  .397E-01  .995E-20  .711E+00  .141E-01  .141E-01
16  .948E-01  .363E-09  .738E+00  .350E-01  .350E-01
17  .247E+00  .989E-04  .767E+00  .948E-01  .949E-01
18  .612E+00  .340E-01  .813E+00  .241E+00  .275E+00
19  .910E+00  .365E+00  .858E+00  .248E+00  .613E+00
20  .978E+00  .724E+00  .881E+00  .119E+00  .843E+00
21  .980E+00  .723E+00  .894E+00  .121E+00  .845E+00
22  .982E+00  .722E+00  .905E+00  .124E+00  .845E+00
23  .983E+00  .719E+00  .911E+00  .126E+00  .845E+00
24  .988E+00  .788E+00  .914E+00  .956E-01  .884E+00
